Driver,Trip Type,Seconds late
D1,before break,-140
D1,before break,-140
D1,middle break,-100
D1,middle break,-70
D1,before break,-60
D1,after break,-35
D1,after break,-65
D1,middle break,-70
D1,middle break,-90
D1,before break,-50
D2,before break,80
D2,before break,130
D2,after break,40
D2,after break,20
D2,middle break,70
D2,middle break,140
D2,before break,0
D2,before break,0
D2,before break,95
D2,before break,115
D2,after break,20
D2,after break,35
D2,middle break,75
D2,middle break,55
D1,after break,60
D1,after break,75
D1,before break,-30
D1,before break,-150
D1,middle break,-75
D1,middle break,-85
D1,after break,0
D1,after break,-60
D2,after break,-60
D2,after break,-75
D2,middle break,-50
D2,middle break,-90
